,id,labels_old,labels
37,38,"[2.0502941e-15 3.9795353e-14 2.0324335e-12 ... 5.0072634e-11 3.5593430e-17
 2.3103448e-11]",0
38,39,"[4.4802807e-18 3.4759875e-18 3.5502592e-16 ... 9.9618116e-16 1.1394373e-16
 4.1023794e-16]",0
39,40,"[3.0515226e-14 1.5362314e-15 1.2033613e-12 ... 5.4840677e-14 1.0251289e-14
 3.7693495e-14]",0
40,41,"[4.5450992e-15 1.5041692e-16 1.0915788e-12 ... 1.9616301e-13 7.0327964e-15
 8.3891634e-13]",0
41,42,"[3.2176586e-14 1.6762085e-12 1.4873438e-11 ... 6.1955406e-11 1.7347715e-13
 4.0707069e-14]",0
42,43,"[8.6844103e-15 3.9199408e-13 2.0270694e-14 ... 4.1941252e-16 9.9746898e-11
 2.3268553e-13]",0
43,44,"[1.7957874e-13 1.5166094e-13 3.8351084e-14 ... 7.8968726e-14 3.3424954e-11
 1.2753581e-13]",0
44,45,"[1.4986266e-14 1.8738827e-17 2.6807148e-16 ... 5.6173103e-15 6.5194410e-18
 1.0482554e-14]",0
45,46,"[1.36093099e-11 1.19711394e-10 3.77799070e-10 ... 1.09225524e-10
 4.82644480e-12 3.84584448e-11]",0
46,47,"[2.0482449e-16 1.3806298e-16 2.4522035e-13 ... 3.5039599e-17 1.1841903e-16
 1.9743349e-14]",0
47,48,"[2.5598495e-16 6.7833919e-17 2.6195254e-16 ... 1.5054543e-17 1.4169442e-16
 1.3684114e-18]",0
48,49,"[4.82070156e-12 7.80594756e-11 1.29810095e-11 ... 8.56519647e-11
 9.48890792e-12 1.08461226e-11]",0
49,50,"[5.2715223e-15 1.9184039e-14 8.8363435e-11 ... 2.8294600e-13 1.4441375e-14
 9.7122912e-14]",0
50,51,"[1.2565030e-15 8.0688210e-18 2.1213654e-15 ... 7.2524126e-16 6.1764695e-16
 6.6022573e-14]",0
51,52,"[2.4085672e-15 9.0356291e-15 2.6642413e-15 ... 8.7136868e-13 1.4774328e-12
 1.5702988e-10]",0
52,53,"[3.9877937e-09 2.0496348e-08 2.5790088e-09 ... 2.1107631e-09 7.7817628e-09
 8.1798424e-10]",0
53,54,"[7.3895843e-17 3.0033692e-16 4.8362901e-17 ... 1.1891444e-13 4.3251179e-15
 7.0701973e-12]",0
54,55,"[2.3896587e-14 6.1375486e-15 3.5633256e-14 ... 1.9429650e-13 3.6886217e-19
 1.6613672e-13]",0
55,56,"[1.9473057e-15 9.1714505e-14 3.2101876e-13 ... 2.1912341e-13 1.9519810e-14
 1.1626575e-13]",0
56,57,"[5.6447165e-16 2.4249590e-15 2.2145975e-15 ... 5.7108814e-17 8.6013358e-13
 3.4722653e-13]",0
57,58,"[2.5590515e-14 3.8876926e-13 3.2166755e-11 ... 4.2720824e-10 3.6418466e-17
 3.1382411e-13]",0
58,59,"[1.4508277e-11 2.0883363e-10 2.6404269e-11 ... 2.0842297e-10 1.1416798e-11
 1.2390075e-11]",0
59,60,"[2.2072437e-14 6.4188894e-15 2.4945536e-12 ... 1.2676653e-11 5.1207535e-13
 4.8497675e-13]",0
60,61,"[1.3051928e-13 1.5240649e-11 2.2266126e-12 ... 4.2469717e-13 5.4416183e-15
 9.5805186e-14]",0
61,62,"[6.5654005e-14 9.7090311e-14 6.0269342e-14 ... 1.0544035e-14 2.1377088e-16
 1.1918095e-14]",0
62,63,"[1.1904152e-13 3.9522999e-12 1.5581544e-12 ... 1.2367025e-14 3.8674186e-14
 9.4949925e-12]",0
63,64,"[6.6150637e-14 5.9256460e-14 5.1693675e-14 ... 1.4484057e-13 2.3661700e-19
 1.7479391e-11]",0
64,65,"[2.6371628e-15 3.2212385e-14 9.2703257e-14 ... 4.1300757e-17 1.0249910e-17
 2.7760523e-16]",0
65,66,"[3.4855379e-16 3.0275139e-16 1.6347936e-14 ... 1.4620917e-14 8.3517756e-16
 5.7734274e-14]",0
66,67,"[3.8594802e-15 7.3127277e-15 3.4143681e-16 ... 4.1855125e-15 5.7733964e-17
 1.2287114e-13]",0
67,68,"[8.5053058e-13 9.2972928e-13 4.1160617e-12 ... 1.1237624e-13 4.0617674e-15
 1.3806685e-12]",0
68,69,"[1.5095050e-14 3.4735704e-13 2.1208659e-13 ... 3.1366630e-12 4.7490760e-13
 1.1915965e-13]",0
69,70,"[1.3101906e-14 1.2271908e-14 9.9005060e-14 ... 1.1047820e-14 5.7417722e-16
 2.4319963e-14]",0
70,71,"[9.2549158e-15 1.1865751e-13 4.4605403e-11 ... 3.5305234e-11 1.6490258e-12
 9.2544970e-14]",0
71,72,"[3.9331102e-15 2.7975171e-15 8.1064383e-12 ... 2.8532577e-16 1.7687311e-16
 8.8066117e-15]",0
72,73,"[6.6605564e-13 7.6399645e-13 9.3536541e-12 ... 5.1641070e-13 1.4584862e-12
 6.4763245e-14]",0
73,74,"[1.0194242e-14 6.0751106e-13 1.2287261e-12 ... 5.7210027e-12 1.3275418e-15
 3.7269080e-14]",0
74,75,"[1.9239378e-13 7.0188647e-13 1.5926489e-11 ... 2.9539285e-10 8.1874820e-17
 1.0368938e-12]",0
75,76,"[6.90961028e-14 3.75929539e-12 1.45180075e-11 ... 8.11154868e-14
 8.29120030e-14 5.63818523e-12]",0
76,77,"[7.5920847e-17 1.0181074e-13 1.7714667e-15 ... 6.0487687e-14 1.9428685e-15
 1.2086179e-12]",0
77,78,"[1.78032931e-08 2.97244540e-08 1.07286624e-07 ... 3.01781498e-08
 4.75056680e-13 7.98298760e-09]",0
78,79,"[2.6509824e-14 1.5990947e-13 4.2946246e-13 ... 1.9731427e-13 7.0994684e-19
 8.2044029e-16]",0
79,80,"[3.0761742e-17 4.0686205e-17 5.5168784e-17 ... 5.7931826e-18 2.9458727e-17
 8.5647826e-16]",0
80,81,"[2.5589501e-17 7.2930731e-19 2.2234494e-17 ... 1.2263038e-18 3.4439320e-12
 2.2656776e-17]",0
81,82,"[2.5282483e-09 2.3068648e-10 2.5269353e-10 ... 2.0699291e-09 6.5945624e-06
 2.9967278e-09]",0
82,83,"[3.0265239e-14 2.4938794e-11 6.9017548e-12 ... 2.5682889e-10 1.3389641e-16
 7.5869470e-13]",0
83,84,"[2.5755129e-15 3.1717714e-13 3.2927651e-13 ... 4.9247266e-15 3.3900045e-18
 2.3109053e-14]",0
84,85,"[1.4449364e-14 5.0671950e-15 1.2858073e-11 ... 1.1534400e-17 4.3438120e-18
 3.2114214e-15]",0
85,86,"[1.28055305e-14 3.71502721e-14 1.20277161e-13 ... 5.32270316e-16
 6.03540045e-14 1.63174070e-14]",0
86,87,"[1.2994479e-16 1.4243673e-18 4.4858703e-19 ... 4.2398425e-16 1.3249249e-17
 3.2516682e-16]",0
87,88,"[1.2461250e-06 5.5754958e-06 5.5244200e-06 ... 2.8280510e-07 5.1310014e-08
 9.5473901e-08]",0
88,89,"[3.8035472e-14 3.0883901e-10 3.7051969e-11 ... 8.8093300e-12 1.5236426e-16
 1.8554972e-11]",0
89,90,"[2.2048867e-15 2.5395617e-15 4.5373725e-15 ... 2.1937252e-14 2.6340147e-16
 3.5137883e-15]",0
90,91,"[1.01649045e-08 3.12796082e-08 1.56517854e-09 ... 3.51639329e-07
 4.05341183e-09 1.56037725e-08]",0
91,92,"[2.9426861e-15 3.1921360e-15 9.2468342e-15 ... 1.6811128e-13 1.2134872e-12
 1.0897215e-15]",0
92,93,"[1.82302171e-13 1.18641798e-11 1.94492087e-13 ... 1.23308465e-14
 4.36124791e-17 4.30034616e-13]",0
93,94,"[8.6012283e-15 3.6029400e-14 1.5277431e-12 ... 8.0814980e-14 1.2516957e-14
 6.1280130e-14]",0
94,95,"[2.0576827e-15 6.6272541e-13 7.5029731e-14 ... 1.3840272e-14 1.0082567e-11
 3.8055145e-10]",0
95,96,"[2.62912716e-15 5.37126554e-17 7.77150347e-17 ... 1.10359896e-13
 2.96488880e-19 1.27753906e-12]",0
96,97,"[1.2565030e-15 8.0688210e-18 2.1213654e-15 ... 7.2524126e-16 6.1764695e-16
 6.6022573e-14]",0
97,98,"[1.5892422e-14 2.7548539e-12 1.8338267e-12 ... 6.6517646e-15 4.2905385e-17
 8.9746992e-13]",0
98,99,"[7.8838430e-15 3.5332529e-14 7.9911206e-15 ... 7.2715068e-14 9.0733965e-12
 1.2816752e-13]",0
99,100,"[5.9014073e-14 1.3705209e-12 2.7084852e-11 ... 4.0411552e-14 4.6953397e-10
 1.4374651e-14]",0
100,101,"[8.1077096e-15 1.4147670e-13 1.4366290e-14 ... 1.5023736e-17 3.0203897e-13
 1.2966317e-14]",0
101,102,"[6.9803295e-15 1.5950555e-13 7.0027664e-13 ... 4.0611126e-11 3.1370769e-15
 2.0523727e-14]",0
102,103,"[1.2628370e-14 3.6929129e-15 2.4215124e-14 ... 1.4828114e-15 4.8265885e-20
 1.5534629e-12]",0
103,104,"[4.1594863e-16 1.4926310e-13 2.6499438e-12 ... 8.5347853e-14 3.0401416e-15
 1.0419301e-11]",0
104,105,"[9.8533098e-15 2.5570219e-14 1.1379529e-14 ... 2.1609397e-13 1.5156254e-16
 9.2335905e-13]",0
105,106,"[1.5975573e-14 9.9556344e-13 2.2717737e-14 ... 3.1745660e-14 3.6634596e-16
 5.9514291e-13]",0
106,107,"[3.73564738e-14 8.42995324e-13 1.27664814e-11 ... 2.93004824e-13
 3.01709993e-18 2.16866607e-12]",0
107,108,"[4.7186969e-15 8.3306558e-14 7.7745438e-13 ... 8.4772562e-14 1.6869987e-19
 3.6608948e-13]",0
108,109,"[1.2581818e-15 7.9411053e-14 7.5581925e-16 ... 5.0064797e-15 1.2866345e-14
 2.2817105e-13]",0
109,110,"[1.49625361e-13 7.92455511e-13 3.58969061e-12 ... 3.45183937e-10
 1.19826715e-17 2.40793984e-13]",0
110,111,"[2.0708907e-13 1.3118930e-11 1.0546458e-12 ... 2.4490110e-13 8.6115486e-20
 4.9469053e-12]",0
111,112,"[1.5095050e-14 3.4735704e-13 2.1208659e-13 ... 3.1366630e-12 4.7490760e-13
 1.1915965e-13]",0
112,113,"[2.9578507e-13 1.2124018e-14 8.2695942e-12 ... 2.9602563e-16 1.8594737e-11
 2.3518907e-15]",0
113,114,"[1.4197278e-12 4.8263650e-13 1.2726545e-13 ... 4.0591247e-13 2.8244849e-15
 8.1913729e-13]",0
114,115,"[1.4383469e-12 9.3799816e-13 4.6505811e-13 ... 1.6822556e-12 8.2330979e-14
 1.7878465e-13]",0
115,116,"[4.7915066e-15 7.6858103e-14 3.6541855e-12 ... 7.1360872e-14 9.9839530e-16
 9.2644222e-14]",0
116,117,"[1.7351710e-14 8.0966668e-17 8.7912093e-14 ... 6.6665424e-17 4.2824880e-12
 8.9773947e-15]",0
117,118,"[5.3751296e-07 2.4153505e-07 2.8736937e-07 ... 3.3711112e-05 1.6960655e-08
 2.2615060e-08]",0
118,119,"[3.1357861e-14 3.8857539e-11 1.3048301e-12 ... 2.2680836e-15 2.1297411e-15
 1.5061027e-14]",0
119,120,"[7.0538376e-14 6.3982573e-15 1.5205568e-12 ... 4.4905068e-13 2.5899394e-13
 5.8272445e-12]",0
120,121,"[4.7395356e-14 6.1755803e-14 7.9541422e-14 ... 9.1822322e-14 5.4129264e-14
 1.4810436e-13]",0
121,122,"[2.2032388e-15 1.0145545e-12 4.9237309e-15 ... 5.6761498e-18 2.4204398e-15
 1.9869600e-18]",0
122,123,"[3.9360971e-06 2.0027102e-07 3.5578856e-07 ... 1.8983089e-08 1.0428609e-09
 1.3773586e-06]",0
123,124,"[6.5417223e-15 3.7447750e-16 1.0406057e-14 ... 1.1458754e-16 9.0740056e-15
 2.4116092e-16]",0
124,125,"[7.1440624e-11 8.9487397e-11 2.0655436e-10 ... 6.8605599e-10 2.3571360e-09
 3.7016934e-10]",0
125,126,"[2.2590606e-15 1.2421783e-13 4.3456890e-16 ... 1.3208696e-14 3.0355643e-15
 7.5823713e-14]",0
126,127,"[2.0788623e-07 1.8312193e-07 8.5701075e-08 ... 2.0392640e-07 3.7874390e-06
 4.8346593e-08]",0
127,128,"[2.4745480e-18 3.0281363e-13 1.8760938e-16 ... 1.6373814e-17 9.8342920e-26
 1.0271287e-16]",0
128,129,"[1.0680785e-14 2.8935247e-11 6.7543388e-11 ... 2.4684369e-12 1.1147118e-13
 1.8435199e-12]",0
129,130,"[5.2125443e-10 2.7134821e-09 8.6210389e-10 ... 4.9341911e-12 7.0960386e-12
 8.1882134e-10]",0
130,131,"[7.58678823e-07 4.77463651e-08 1.08711326e-07 ... 4.25117605e-06
 2.54390379e-05 5.53159964e-07]",0
131,132,"[6.0706796e-15 2.9416357e-12 5.1220664e-12 ... 1.1522869e-11 1.1502906e-15
 1.4763496e-14]",0
132,133,"[4.7867407e-14 7.2481642e-13 2.6498137e-11 ... 1.1438099e-12 1.1544800e-15
 4.4832069e-13]",0
133,134,"[2.03762544e-13 1.26435225e-11 1.26618152e-11 ... 7.64963787e-11
 6.34678396e-18 1.37823419e-10]",0
134,135,"[2.3123673e-12 2.5060902e-12 2.2253276e-11 ... 1.4274478e-12 1.3519446e-12
 8.1947704e-12]",0
135,136,"[1.5270057e-16 3.9883346e-14 1.0889088e-12 ... 2.6542292e-15 8.7406362e-17
 1.6430784e-13]",0
136,137,"[1.04712575e-11 1.91272595e-10 2.71206835e-10 ... 2.49291476e-10
 1.94926649e-12 2.02916031e-08]",0
137,138,"[1.6496786e-07 7.2220382e-07 4.4422120e-07 ... 5.4682994e-07 1.2891404e-05
 2.8571768e-07]",0
138,139,"[6.0541614e-17 2.1468546e-15 4.7043771e-13 ... 1.9154077e-12 1.3894200e-18
 5.2690039e-17]",0
139,140,"[9.0911856e-16 7.0068979e-16 7.6311460e-15 ... 1.5373592e-13 1.1392603e-14
 1.2950993e-14]",0
140,141,"[7.9058887e-15 7.1579122e-14 1.9313696e-12 ... 1.1823788e-11 8.6756232e-14
 4.7137160e-14]",0
141,142,"[1.9215302e-15 3.7939525e-15 1.5987035e-14 ... 6.9619771e-16 1.4396367e-16
 1.2674375e-12]",0
142,143,"[2.9735030e-15 6.0396354e-15 3.6604859e-15 ... 4.6911317e-14 3.8195373e-16
 2.2820381e-16]",0
143,144,"[3.6160188e-15 3.3629631e-14 3.2112025e-14 ... 1.2728629e-14 2.9584889e-15
 2.0652960e-14]",0
144,145,"[3.1318980e-16 1.2627695e-14 1.6057744e-15 ... 2.0959891e-13 3.8570369e-15
 5.5076829e-12]",0
145,146,"[8.8947946e-16 2.7969396e-16 3.7022910e-16 ... 3.6794119e-16 5.2419695e-13
 3.4324475e-13]",0
146,147,"[1.4475951e-11 2.3774505e-13 2.9485123e-11 ... 5.1662202e-11 1.9619024e-06
 4.2313174e-13]",0
147,148,"[6.5150026e-08 1.1463404e-05 1.4583468e-06 ... 4.2549891e-07 9.6754637e-03
 1.2799917e-07]",0
148,149,"[2.3971703e-08 9.2970771e-07 3.6182662e-08 ... 2.3708688e-07 1.0280872e-04
 1.6091131e-09]",0
149,150,"[7.6184058e-15 1.9535192e-14 2.0777262e-14 ... 9.4351176e-14 1.7920793e-10
 2.0335881e-13]",0
150,151,"[3.3309220e-06 8.2501947e-07 1.9244983e-06 ... 7.5771791e-06 1.6174209e-03
 6.7543482e-07]",0
151,152,"[2.7113188e-14 4.7173067e-13 8.3599712e-15 ... 1.1557140e-11 4.6714656e-16
 1.7295473e-14]",0
152,153,"[1.8762593e-15 1.4901691e-11 3.0760297e-12 ... 2.4353046e-15 1.0222358e-14
 8.0484861e-14]",0
153,154,"[2.6296286e-15 4.2158529e-12 2.3310164e-14 ... 3.1950649e-12 2.3237638e-17
 3.6176162e-13]",0
154,155,"[2.5795650e-13 9.4019965e-12 8.9135529e-13 ... 9.5386962e-12 1.9609963e-17
 2.0794012e-11]",0
155,156,"[1.3530953e-15 5.5419773e-14 1.5702075e-12 ... 2.4101244e-12 1.1231379e-16
 7.1984557e-13]",0
156,157,"[5.0553772e-06 8.5133535e-05 1.0431401e-05 ... 2.2372244e-05 3.2193412e-04
 3.3715053e-06]",0
157,158,"[9.96622523e-15 1.39393339e-13 4.30206055e-13 ... 1.06007555e-11
 1.32886378e-12 2.55448577e-15]",0
158,159,"[1.8241592e-13 1.1427037e-13 1.5414413e-12 ... 4.6412657e-10 6.0156530e-15
 4.1830844e-12]",0
159,160,"[6.0806920e-15 2.3713640e-13 1.1632074e-13 ... 1.1500768e-13 3.6665600e-18
 2.8559736e-13]",0
160,161,"[1.8281473e-13 8.4014318e-16 5.8242858e-13 ... 4.9906509e-16 8.6649241e-14
 5.3588922e-14]",0
161,162,"[1.3160469e-09 4.7497828e-09 1.3590042e-09 ... 5.1546857e-07 9.3041890e-04
 1.3172231e-08]",0
162,163,"[7.1518322e-16 4.3355019e-14 1.9671432e-15 ... 4.5519004e-15 7.6887603e-17
 2.5434556e-14]",0
163,164,"[4.14920360e-15 6.81018555e-14 3.04718938e-15 ... 1.02147566e-14
 2.90278318e-15 1.08365736e-14]",0
164,165,"[3.2871895e-14 4.7022759e-13 1.4826660e-12 ... 4.5969811e-11 5.6532472e-16
 3.2145821e-15]",0
165,166,"[1.73264435e-14 1.24649724e-14 1.32038088e-14 ... 1.72044765e-13
 2.22389063e-17 4.18452064e-16]",0
166,167,"[3.9261226e-16 4.7789636e-16 3.7398053e-17 ... 1.1878861e-17 1.9346877e-16
 2.0538960e-14]",0
167,168,"[4.4213892e-15 7.0811887e-14 3.2131125e-15 ... 1.1011131e-14 3.1329629e-15
 1.1929148e-14]",0
168,169,"[3.0475729e-15 7.0498559e-14 2.9684724e-14 ... 3.1050030e-15 7.0678026e-18
 6.1492518e-14]",0
169,170,"[7.7861029e-17 3.6537865e-13 4.2274393e-16 ... 2.6862746e-15 1.5044229e-22
 2.6282774e-13]",0
170,171,"[1.42090785e-14 2.40006452e-12 1.99290341e-11 ... 1.75891788e-12
 8.93747979e-16 1.38942764e-11]",0
171,172,"[1.2330229e-15 5.8670395e-11 5.2745394e-15 ... 1.0134492e-14 4.0243082e-15
 9.3613539e-14]",0
172,173,"[2.1929807e-14 1.1589720e-15 4.4551366e-13 ... 5.2636532e-12 6.6808971e-18
 2.8501927e-14]",0
173,174,"[1.65638055e-14 1.12300145e-14 2.08668481e-14 ... 7.37418820e-14
 3.11970458e-12 6.30660837e-15]",0
174,175,"[5.0033052e-17 3.4702540e-16 2.7274831e-16 ... 1.0831367e-14 2.6310268e-20
 5.7253156e-19]",0
175,176,"[2.0823241e-14 3.5756315e-10 8.3817450e-12 ... 2.5530462e-13 5.5167097e-17
 8.2126032e-13]",0
176,177,"[2.8770075e-16 3.5531198e-15 4.3892128e-13 ... 1.9516783e-15 7.3956926e-20
 3.5832556e-15]",0
177,178,"[6.1865889e-15 5.2544021e-13 1.5891582e-13 ... 1.5818157e-13 6.9465873e-17
 1.0000000e+00]",0
178,179,"[6.0000684e-15 2.4719193e-15 1.9436552e-14 ... 1.6743981e-14 4.1826011e-18
 3.7198309e-16]",0
179,180,"[1.5097815e-14 7.4076582e-14 9.1793999e-13 ... 3.0831454e-14 6.4861548e-17
 5.0943538e-13]",0
180,181,"[1.7310777e-15 6.1024626e-16 1.8402500e-15 ... 4.0985590e-14 1.3497991e-18
 3.6747671e-17]",0
181,182,"[2.6445167e-15 5.3850969e-12 2.9557323e-14 ... 4.3202269e-12 3.0944995e-17
 3.5043680e-13]",0
182,183,"[1.2518651e-10 1.0389384e-09 1.0641599e-10 ... 4.4867776e-11 4.4377208e-07
 2.0631372e-11]",0
183,184,"[1.0107234e-14 1.3406272e-13 4.6161854e-13 ... 9.3885255e-12 1.7217288e-12
 2.0653187e-15]",0
184,185,"[4.4985756e-16 3.8342087e-16 9.2089482e-17 ... 4.4692555e-17 9.9858578e-16
 4.2900824e-16]",0
185,186,"[3.8537572e-15 2.1965472e-14 7.6416992e-13 ... 3.1841229e-14 3.3311055e-15
 3.6200785e-14]",0
186,187,"[1.3177083e-15 3.4880088e-14 2.0461669e-13 ... 1.1543044e-14 4.1080662e-15
 1.1658323e-14]",0
187,188,"[3.0866738e-15 5.7953710e-14 1.0045660e-13 ... 2.1723121e-13 5.8651891e-16
 1.2827079e-12]",0
188,189,"[3.6160188e-15 3.3629631e-14 3.2112025e-14 ... 1.2728629e-14 2.9584889e-15
 2.0652960e-14]",0
189,190,"[1.4150981e-14 2.2195047e-13 1.8821134e-10 ... 7.3462829e-14 4.8798124e-13
 1.7443530e-10]",0
190,191,"[6.0006890e-14 1.3740573e-15 9.6111888e-15 ... 7.7281194e-13 1.2923818e-11
 3.4162359e-13]",0
191,192,"[5.3474196e-12 1.5504629e-13 1.0065655e-11 ... 3.9642486e-13 9.9999976e-01
 3.1363033e-12]",0
192,193,"[2.2898647e-12 2.5206500e-11 1.1311382e-11 ... 2.9359672e-13 2.9119526e-13
 2.6513319e-10]",0
193,194,"[9.20593693e-15 1.91876734e-13 1.78239788e-14 ... 1.61604283e-15
 1.07861496e-19 1.84209456e-14]",0
194,195,"[1.3074695e-14 2.5275739e-14 7.1055790e-15 ... 6.1266601e-13 6.7144983e-17
 8.3563644e-16]",0
195,196,"[3.2306510e-15 3.5595648e-11 1.8201466e-11 ... 2.8552654e-13 1.2462896e-19
 6.8279001e-14]",0
196,197,"[1.3521384e-10 2.5562441e-11 1.6249042e-10 ... 8.0254336e-12 9.6930493e-12
 2.0006793e-11]",0
197,198,"[4.4284259e-16 5.1093683e-17 3.1818961e-17 ... 9.0655496e-18 2.4405579e-16
 3.4204153e-17]",0
198,199,"[5.6217047e-15 2.1929661e-12 6.3227605e-12 ... 3.2782936e-14 7.5830175e-19
 2.5311440e-14]",0
199,200,"[2.2032388e-15 1.0145545e-12 4.9237309e-15 ... 5.6761498e-18 2.4204398e-15
 1.9869600e-18]",0
200,201,"[1.30348545e-14 2.05836587e-15 4.58640524e-14 ... 5.97721850e-13
 1.35762780e-14 2.04863877e-13]",0
201,202,"[5.5512523e-15 2.1746658e-14 4.9005196e-13 ... 4.4512804e-13 2.7074879e-15
 1.4173350e-14]",0
202,203,"[9.1741311e-17 2.2202987e-15 4.4888685e-18 ... 9.9851080e-21 4.1539660e-17
 1.8019940e-15]",0
203,204,"[6.3590816e-15 4.0469713e-14 4.1060964e-13 ... 2.2449654e-13 5.1112400e-17
 1.0325245e-12]",0
204,205,"[1.2062539e-14 1.4884925e-12 1.0160321e-12 ... 3.1920801e-12 8.0080652e-13
 3.9058407e-14]",0
205,206,"[1.6377310e-06 2.4104354e-04 2.5773334e-04 ... 5.4744851e-07 5.8763966e-11
 3.2357285e-08]",0
206,207,"[9.5486793e-19 6.4150996e-14 4.2993692e-17 ... 1.5035260e-17 1.1924980e-26
 3.3877956e-17]",0
207,208,"[8.3444231e-15 3.5051836e-13 8.6497250e-12 ... 9.5555400e-13 8.9491688e-19
 1.1083564e-12]",0
